text_procesado,label
"rock destined 21st century 's new `` conan `` 's going make splash even greater arnold schwarzenegger , jean-claud van damme steven segal .",1
gorgeously elaborate continuation `` lord ring `` trilogy huge column word adequately describe co-writer/director peter jackson 's expanded vision j . r . r . tolkien 's middle-earth .,1
effective too-tepid biopic,1
"sometimes like go movie fun , wasabi good place start .",1
"emerges something rare , issue movie 's honest keenly observed n't feel like one .",1
film provides great insight neurotic mindset comic -- even reached absolute top game .,1
offer rare combination entertainment education .,1
perhaps picture ever made literally showed road hell paved good intention .,1
steer turn snappy screenplay curl edge ; 's clever want hate . somehow pull .,1
take care cat offer refreshingly different slice asian cinema .,1
"film well worth seeing , talking singing head .",1
really surprise wisegirls low-key quality genuine tenderness .,1
"( wendigo ) go cinema : fed eye , heart , mind .",1
"one greatest family-oriented , fantasy-adventure movie ever .",1
"ultimately , ponders reason need story much .",1
utterly compelling 'who wrote ' reputation famous author ever lived come question .,1
illuminating overly talky documentary .,1
masterpiece four year making .,1
"movie 's ripe , enrapturing beauty tempt willing probe inscrutable mystery .",1
offer breath fresh air true sophistication .,1
"thoughtful , provocative , insistently humanizing film .",1
"cast includes top actor working independent film , lovely & amazing involves u incisive , bleakly amusing go life .",1
disturbing frighteningly evocative assembly imagery hypnotic music composed philip glass .,1
"everyone , connect , 's nice departure standard moviegoing fare .",1
score point dedicated good-hearted professionalism .,1
"occasionally melodramatic , 's also extremely effective .",1
spiderman rock,1
idealistic love story brings latent 15-year-old romantic everyone .,1
"95 minute , treasure planet maintains brisk pace race familiar story . however , lack grandeur epic quality often associated stevenson 's tale well earlier disney effort .",1
help lil bow wow . . . tone pint-sized gangsta act play someone resembles real kid .,1
"guaranteed move anyone ever shook , rattled , rolled .",1
"masterful film master filmmaker , unique deceptive grimness , compelling fatalist worldview .",1
"light , cute forgettable .",1
"'s way effectively teach kid danger drug , think 's project like ( unfortunately r-rated ) paid .",1
"would easy give crush new title two wedding funeral , 's far thoughtful film slice hugh grant whimsy .",1
"though everything might literate smart , never took always seemed static .",1
"cantet perfectly capture hotel lobby , two-lane highway , roadside cafe permeate vincent 's day",1
"m . fulford-wierzbicki almost spooky sulky , calculating lolita turn .",1
"though mean best work , laissez-passer distinguished distinctive effort bona-fide master , fascinating film replete reward willing make effort reap .",1
"like bond outing recent year , stunt outlandish border cartoonlike . heavy reliance cgi technology beginning creep series .",1
"newton draw attention like magnet , act circle around better known co-star , mark wahlberg .",1
"story loses bite last-minute happy ending 's even less plausible rest picture . much way , though , refreshingly novel ride .",1
fuller would surely called gutsy time exhilarating movie great yarn .,1
"'compleja e intelectualmente retadora , el ladrón de orquídeas e uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1
film make strong case importance musician creating motown sound .,1
"karmen move like rhythm , lip chanting beat , long , braided hair little wipe away jeweled bead sweat .",1
gosling provides amazing performance dwarf everything else film .,1
"real movie , real people , give u rare glimpse culture u n't know .",1
tender yet lacerating darkly funny fable .,1
may spoofing easy target -- old '50 's giant creature feature -- . . . acknowledges celebrates cheesiness reason people get kick watching today .,1
engaging overview johnson 's eccentric career .,1
"ragged , cheap unassuming way , movie work .",1
actor much charisma 'd happy listen reading phone book . hugh grant sandra bullock two likeable actor .,1
"sandra nettelbeck beautifully orchestrates transformation chilly , neurotic , self-absorbed martha heart begin open .",1
"behind snow game lovable siberian husky ( plus one sheep dog ) , picture host parka-wrapped dose heart .",1
"everytime think undercover brother run steam , find new way surprise amuse .",1
"manages original , even though rip many idea .",1
"singer/composer bryan adam contributes slew song  potential hit , simply intrusive story  whole package certainly capture intended , er , spirit piece .",1
'd think america would enough plucky british eccentric heart gold . yet act still charming .,1
"whether 're enlightened derrida 's lecture `` `` `` self , `` derrida undeniably fascinating playful fellow .",1
"pleasant enough movie , held together skilled ensemble actor .",1
best american movie troubled teen since 1998 's whatever .,1
disney always hit-or-miss bringing beloved kid ' book screen . . . tuck everlasting little .,1
labour involved creating layered richness imagery chiaroscuro madness light astonishing .,1
"animated subplot keenly depicts inner struggle adolescent hero - insecure , uncontrolled , intense .",1
